AANHITW	Hilton Al Ain
ATLDMHX	Hampton Inn Atlanta/Lawrenceville/I-85-Sugarloaf, GA
ATLDOGI	Hilton Garden Inn Atlanta Downtown
ATLDVHX	Hampton Inn Atlanta/Douglasville
ATLEPGI	Hilton Garden Inn Atlanta Airport North, GA
ATLESES	Embassy Suites by Hilton Atlanta Centennial Park
ATLFBHX	Hampton Inn Atlanta/Fairburn, GA
ATLFRHX	Hampton Inn Arlanta/Marietta
ATLFYHX	Hampton Inn Fayetteville, GA
ATLGIGI	Hilton Garden Inn Atlanta Airport Millenium Center
ATLGLES	Embassy Suites by Hilton Atlanta-Galleria
ATLGRHX	Hampton Inn and Suites Atlanta Galleria
ATLGSGI	Hilton Garden Inn Atlanta NE/Gwinnett Sugarloaf
ATLGTHX	Hampton Inn Atlanta-Georgia Tech/Downtown, GA
ATLGWHX	Hampton Inn and Suites Atlanta/Duluth
ATLHMHX	Hampton Inn Atlanta Perimeter Center
ATLHPHF	Hilton Atlanta-Northeast
ATLHSHX	Hampton Inn & Suites Atlanta-Downtown,GA
ATLJCGI	Hilton Garden Inn Atlanta North/Johns Creek
ATLKEGI	Hilton Garden Inn Atlanta NW/Kennesaw Town Center
ATLKNHW	Homewood Suites by Hilton Atlanta NW-Kennesaw Town Ctr
ATLKSES	Embassy Suites by Hilton Atlanta - Kennesaw Town Center
ATLLADT	DoubleTree by Hilton Atlanta NE/Northlake
ATLLVHX	Hampton Inn - Atlanta/Lawrenceville/Gwinnett Co., GA
ATLLXES	Embassy Suites by Hilton Atlanta-Buckhead
ATLMAHF	Hilton Atlanta/Marietta Hotel & Conference Center
ATLMCGI	Hilton Garden Inn Atlanta South-McDonough
ATLMGHX	Hampton Inn - Atlanta-Mall of Georgia, GA
ATLMIHW	Homewood Suites by Hilton Atlanta Midtown, GA
ATLMOHX	Hampton Inn Atlanta/McDonough, GA
ATLMRHX	Hampton Inn and Suites Alpharetta
ATLNBHX	Hampton Inn and Suites Atlanta Airport North
ATLNDDT	DoubleTree by Hilton Atlanta North Druid Hills/Emory Area
ATLNLHX	Hampton Inn Atlanta Northlake
ATLNOHX	Hampton Inn Alpharetta/Roswell
ATLNPGI	Hilton Garden Inn Atlanta Northpoint
ATLNXHX	Hampton Inn Norcross, GA
ATLPCHX	Hampton Inn Atlanta Peachtree City
ATLPDHF	Hilton Suites Atlanta-Perimeter
ATLPEHW	Homewood Suites by Hilton Atlanta-Peachtree
ATLPHGI	Hilton Garden Inn Atlanta Perimeter Center, GA
ATLPMHW	Homewood Suites by Hilton Atlanta Buckhead
ATLPTHX	Hampton Inn Atlanta/Peachtree Corners/Norcross, GA
ATLPWES	Embassy Suites by Hilton Atlanta-Perimeter Center
ATLRSDT	DoubleTree by Hilton Atlanta/Roswell
ATLSBHX	Hampton Inn Atlanta/Stockbridge
ATLSCGI	Hilton Garden Inn Atlanta East/Stonecrest, Ga
ATLSFHX	Hampton Inn and Suites Atlanta-West/Six Flags, GA
ATLSLHX	Hampton Inn Atlanta Southlake
ATLSMHX	Hampton Inn Atlanta/Stone Mountain
ATLSPES	Embassy Suites by Hilton Atlanta-Airport
ATLSSDT	DoubleTree by Hilton Atlanta Downtown
ATLTCHX	Hampton Inn Atlanta Town Center/Kennesaw
ATLTLHW	Homewood Suites by Hilton Atlanta Airport North, GA
ATLTYGI	Hilton Garden Inn Atlanta/Peachtree City
ATLWDDT	DoubleTree by Hilton Atlanta Alpharetta - Winward
ATLWSHX	Hampton Inn Woodstock
ATLWWGI	Hilton Garden Inn Atlanta NW/Wildwood
ATLWYDT	DoubleTree by Hilton Atlanta NW/Marietta
ATWAKGI	Hilton Garden Inn Appleton/Kimberly
ATYSDHX	Hampton Inn and Suites Watertown, SD
AUAHHHH	Hilton Aruba Caribbean Resort & Casino
AUBALHX	Hampton Inn Auburn
AUHAMHI	Hilton Capital Grand Abu Dhabi, UAE
AUHHITW	Hilton Abu Dhabi
AUOAPGI	Hilton Garden Inn Auburn/Opelika
AUOLNHX	Hampton Inn and Suites Lanett - West Point, AL
AUOOPHX	Hampton Inn and Suites Opelika, AL
AUSAAGI	Hilton Garden Inn Austin NW/Arboretum
AUSAHHF	Hilton Austin-Airport
AUSANGI	Hilton Garden Inn Austin North, TX
AUSAPHX	Hampton Inn and Suites Austin Airport
AUSBPDT	DoubleTree by Hilton Austin Northwest Arboretum
AUSBTHX	Hampton Inn and Suites Bastrop, TX
AUSBUHX	Hampton Inn & Suites Austin South/Buda
AUSCCHX	Hampton Inn and Suites Austin/Cedar Park-Lakeline, TX
AUSCDHT	Home2 Suites by Hilton Austin/Cedar Park, TX
AUSCLES	Embassy Suites by Hilton Austin-Central
AUSCVHH	Hilton Austin
AUSDTHX	Hampton Inn and Suites Austin-Downtown/Convention Center, TX
AUSESES	Embassy Suites by Hilton Austin-Arboretum
AUSFLDT	DoubleTree Suites by Hilton Austin
AUSGIGI	Hilton Garden Inn Austin Downtown Convention Center
AUSHWHW	Homewood Suites by Hilton Austin/South
AUSIMDT	DoubleTree by Hilton Austin-University Area
AUSLGHX	Hampton Inn La Grange, TX
AUSLKES	Embassy Suites by Hilton Austin-Downtown-Town Lake
AUSLNDT	DoubleTree by Hilton Austin
AUSMFHX	Hampton Inn Marble Falls
AUSNHHX	Hampton Inn Austin North
AUSNWHX	Hampton Inn Austin/Arboretum
AUSRKHX	Hampton Inn Austin/Roundrock
AUSROHW	Homewood Suites by Hilton Austin/Round Rock, TX
AUSRRGI	Hilton Garden Inn Austin/Round Rock
AUSSLHW	Homewood Suites by Hilton Austin-Arboretum/NW
AUSSOHX	Hampton Inn Austin Airport
AUSTDHT	Home2 Suites by Hilton Austin North/Near the Domain, TX
AUSUAHX	Hampton Inn and Suites Austin @ The University/Capitol, TX
AUWWIHX	Hampton Inn Wausau
AVLAPHX	Hampton Inn and Suites Asheville Airport
AVLBMDT	DoubleTree by Hilton Biltmore Hotel-Asheville
AVLBPHF	Hilton Asheville Biltmore Park
AVLHNHX	Hampton Inn Hendersonville
AVLHWHW	Homewood Suites by Hilton Asheville-Tunnel Road, NC
AVLMRHX	Hampton Inn Marion
AVLRRHX	Hampton Inn Asheville
AVLTUHX	Hampton Inn Asheville Tunnel Road
AVPHDHX	Hampton Inn and Suites Wilkes-Barre/Scranton, PA
AVPNTHX	Hampton Inn & Suites Newtown, PA
AVPNWHW	Homewood Suites by Hilton Newtown - Langhorne, PA
