AANHITW	Hilton Al Ain
LDLPAHW	Homewood Suites by Hilton Lansdale
LDNNJHX	Hampton Inn Linden
LEBFRHX	Hampton Inn and Suites Lebanon,  TN
LEEFLHX	Hampton Inn Leesburg, FL
LEEHNHN	Hilton Leeds City
LEHPAHX	Hampton Inn Lehighton - Jim Thorpe, PA
LENTNHX	Hampton Inn Lenoir City, TN
LEWAGHX	Hampton Inn Augusta
LEWAHGI	Hilton Garden Inn Auburn Riverwatch
LEXAPHX	Hampton Inn Lexington South
LEXDTHF	Hilton Lexington Downtown
LEXEHHX	Hampton Inn Lexington I-75
LEXESES	Embassy Suites by Hilton Lexington
LEXGEGI	Hilton Garden Inn Lexington/Georgetown, KY
LEXGTHX	Hampton Inn Lexington/Georgetown
LEXHBHW	Homewood Suites by Hilton Lexington/Hamburg, KY
LEXHSHS	Hilton Suites Lexington Green
LEXKYHW	Homewood Suites by Hilton Lexington
LEXLHGI	Hilton Garden Inn Lexington, KY
LEXMHHX	Hampton Inn and Suites Morehead, KY
LEXQQQQ	The Campbell House Lexington, Curio Collection by Hilton
LEXRRDT	DoubleTree Suites by Hilton Lexington
LEXWIHX	Hampton Inn Winchester
LFDILHX	Hampton Inn Litchfield, IL
LFTBRHX	Hampton Inn Broussard, LA
LFTCDGI	Hilton Garden Inn LaFayette/Cajundome, LA
LFTHSHX	Hampton Inn and Suites Lafayette
LFTJEHX	Hampton Inn and Suites Jennings, LA
LFTKSHW	Homewood Suites Lafayette
LFTLAHX	Hampton Inn Lafayette, LA
LFTLDDT	DoubleTree by Hilton Lafayette
LGARPGI	Hilton Garden Inn Ridgefield Park, NJ
LGASFDT	DoubleTree Suites by Hilton New York City - Times Squares
LGBCHDT	DoubleTree by Hilton Carson, CA
LGBLHHF	Hilton Long Beach
LGBMBGI	Hilton Garden Inn Los Angeles Montebello, CA
LGBMYDT	Hotel Maya - A DoubleTree by Hilton
LGBSBHX	Hampton Inn and Suites Seal Beach, CA
LGBSPDT	DoubleTree by Hilton San Pedro
LGUUTHX	Hampton Inn Logan
LHQOHHX	Hampton Inn Lancaster, OH
LHRAPTW	Hilton London Heathrow Airport
LHRATHI	Hilton London Heathrow Airport Terminal 5
LHRCLDI	DoubleTree by Hilton Heathrow Airport
LHREPGI	Hilton Garden Inn London Heathrow Airport
LHRHITW	Hilton London Kensington
LHRHRHI	Hilton Reading
LHRLBDI	DoubleTree by Hilton London - West End
LHROLHN	Hilton London Olympia
LHRSPHI	Hilton London Syon Park
LIHWBGI	Hilton Garden Inn Kauai/Wailua Bay, HI
LIMOHHX	Hampton Inn Lima
LIMPUDT	DoubleTree by Hilton El Pardo Lima, Peru
LINHSHX	Hampton Inn and Suites Chicago/Lincolnshire
LIONHF	Hilton Bellevue
LISFPDI	DoubleTree by Hilton Lisbon - Fontana Park
LITBLHX	Hampton Inn and Suites Lonoke, AR
LITBYHX	Hampton Inn Bryant, AR
LITCPES	Embassy Suites by Hilton Little Rock
LITCWGI	Hilton Garden Inn Conway
LITDTHX	Hampton Inn and Suites Little Rock/Downtown, AR
LITMBDT	DoubleTree by Hilton Little Rock
LITMMHX	Hampton Inn Maumelle, AR
LITNLGI	Hilton Garden Inn North Little Rock, AR
LITWSGI	Hilton Garden Inn Little Rock West, AR
LITWTHX	Hampton Inn and Suites Little Rock West
LIVTXHX	Hampton Inn Livingston, TX
LJNBCHX	Hampton Inn and Suites Bay City, TX
LJNCLHX	Hampton Inn and Suites Lake Jackson-Clute, TX
LKCFLHX	Hampton Inn and Suites Lake City, FL
LKGNYHX	Hampton Inn and Suites Lake George, NY
LKMFLHW	Homewood Suites by Hilton Lake Mary
LKMHSHX	Hampton Inn and Suites Lake Mary @ Colonial Townpark
LKPMLHX	Hampton Inn and Suites Lake Placid, NY
LLKFLHX	Hampton Inn and Suites Lady Lake/The Villages, FL
LNKDHGI	Hilton Garden Inn Lincoln Downtown/Haymarket
LNKESES	Embassy Suites by Hilton Lincoln
LNKNEHX	Hampton Inn Lincoln South/Heritage Park
LNKNHHX	Hampton Inn and Suites Lincoln Northeast/I-80, NE
LNSGFHX	Hampton Inn Lancaster
LNSHWHW	Homewood Suites by Hilton Lancaster, PA
LNSLHGI	Hilton Garden Inn Lancaster
LNSWVDT	DoubleTree by Hilton Resort Lancaster/Willow Valley
LNVPAHX	Hampton Inn Downington/Exton
LOMCAES	Embassy Suites by Hilton Lompoc-Central Coast
LONCOCI	Conrad London St. James
LONCWHI	Hilton London Canary Wharf
LONECDI	DoubleTree by Hilton London - Ealing
LONEUHI	Hilton London Euston
LONEXDI	Doubletree by Hilton London ExCel, United Kingdom
LONGNHX	Hampton By Hilton Gatwick North
LONGPTW	Hilton London Green Park
LONHITW	London Hilton on Park Lane
LONHPHN	Hilton London Hyde Park
LONHYDI	DoubleTree by Hilton London-Hyde Park
LONISHN	Hilton London Angel Islington
LONLCDI	DoubleTree by Hilton London - Chelsea
LONLIDI	DoubleTree by Hilton London-Islington, United Kingdom
LONLKDI	Doubletree by Hilton London Kensington, United Kingdom
LONLWHI	Hilton London Wembley
LONMADI	DoubleTree by Hilton London - Marble Arch
LONMETW	Hilton London Metropole
LONNDDI	DoubleTree by Hilton London - Docklands Riverside
LONPDHI	Hilton London Paddington
LONSBHI	Hilton London Bankside
LONTBHI	Hilton London Tower Bridge
LONTLDI	DoubleTree by Hilton London - Tower of London
LONTSHI	The Trafalgar, London
LONVCDI	DoubleTree by Hilton London - Victoria
LONWAHI	The Waldorf Hilton, London
LONWLHX	Hampton By Hilton London Waterloo
LONWMDI	DoubleTree by Hilton London -Westminster
LOZWBHX	Hampton Inn Williamsburg, KY
LPKMDHX	Hampton Inn Lexington Park
LPLDLDI	DoubleTree by Hilton Hotel & Spa Liverpool
LPLHIHI	Hilton Liverpool City Centre
LPLJLHX	Hampton Inn Liverpool John Lennon Airport
LPLLCHX	Hampton by Hilton Liverpool City Centre
LPTINHX	Hampton Inn Laporte
LRDESES	Embassy Suites by Hilton Laredo
LRDHWHW	Homewood Suites by Hilton Laredo at Mall del Norte
LRDTXHX	Hampton Inn Laredo
LRLJFHX	Hampton Inn and Suites Laurel, MS
LRNBGHX	Hampton Inn Laurinburg
LRUDMHX	Hampton Inn Deming, NM
LRUHSHX	Hampton Inn and Suites Las Cruces, NM
LRULBHX	Hampton Inn Lordsburg, NM
LRULCGI	Hilton Garden Inn Las Cruces, NM
LSETOHX	Hampton Inn Tomah, WI
LSEWIHX	Hampton Inn La Crosse/Onalaska
LTNDTDI	DoubleTree by Hilton Milton Keynes
LTNLAHX	Hampton Luton Airport
LTNNHHX	Hampton Inn Littleton, NH
LTNNOGI	Hilton Garden Inn Luton North
LUFTXHX	Hampton Inn and Suites Lufkin
LUXHITW	Hilton Luxor Resort & Spa
LVKCAHX	Hampton Livermore East Bay
LVKLHGI	Hilton Garden Inn Livermore
LWCMDDT	Doubletree by Hilton Lawrence, KS
LWGPAHX	Hampton Inn Lewisburg, PA
LWRKSHX	Hampton Inn Lawrence
LXMHIDI	DoubleTree by Hilton Luxembourg
LYHLVGI	Hilton Garden Inn Lynchburg, VA
LYHWLHX	Hampton Inn and Suites Lynchburg, VA
MAAHIHI	Hilton Chennai
MADAPHI	Hilton Madrid Airport
MAFBSHX	Hampton Inn and Suites Big Spring, TX
MAFDBGI	Hilton Garden Inn Midland, TX
MAFDCHT	Home2 Suites by Hilton Midland, TX
MAFDTDT	DoubleTree by Hilton Midland Plaza
MAFGIGI	Hilton Garden Inn Odessa, TX
MAFHAHX	Hampton Inn Midland, TX
MAFODHW	Homewood Suites by Hilton Odessa, TX
MAFTWHW	Homewood Suites by Hilton Midland, TX
MAHNJHW	Homewood Suites Mahwah
MAHWHHX	Hampton Inn and Suites Mahwah, NJ
MAKHITW	Makkah Hilton Hotel
MAKSUHI	Hilton Suites Makkah
MAKTWHI	Makkah Hilton Towers
MANDGHI	Hilton Manchester Deansgate
MANDTDI	DoubleTree by Hilton Hotel & Spa Chester
MANGIGI	Hilton Garden Inn Manhattan, KS
MANHITW	Hilton Manchester Airport
MANKSHX	Hampton Inn Manhattan
MANPDDI	DoubleTree by Hilton Hotel Manchester - Piccadilly
MARILHX	Hampton Inn Marion, IL
MAXVAHX	Hampton Inn Ft. Chiswell/Max Meadows
MBGINHX	Hampton Inn Martinsburg South-Inwood, WV
MBGWVHX	Hampton Inn Martinsburg
MBJDRQQ	Jewel Dunn's River Resort & Spa, Curio Collection by Hilton
MBJPCQQ	Jewel Paradise Cv Resort & Spa - Curio Collection By Hilton
MBJRHHF	Hilton Rose Hall Resort & Spa, JM
MBSBCDT	DoubleTree by Hilton Bay City-Riverfront
MBSBRHX	Hampton Inn Birch Run/Frankenmuth
MBSSGHX	Hampton Inn & Suites Saginaw,MI
MBTDTDT	DoubleTree by Hilton Murfreesboro
MBTESES	Embassy Suites by Hilton Murfreesboro
MBTOFHX	Hampton Inn and Suites Murfreesboro, TN
MCAOKHX	Hampton Inn and Suites McAlester, OK
MCCOMHX	Hampton Inn and Suites McComb, MS
MCECAHX	Hampton Inn and Suites Merced, CA
MCHILHX	Hampton Inn McHenry
MCIAPHF	Hilton Kansas City-Airport
MCIINGI	Hilton Garden Inn Independence
MCIKCGI	Hilton Garden Inn Kansas City/Kansas
MCIMSDT	DoubleTree by Hilton Overland Park, KS
MCIOLGI	Hilton Garden Inn Olathe, KS
MCIOPGI	Hilton Garden Inn Overland Park
MCIPRHF	Hilton President Kansas City
MCLMHHH	Hilton McLean Tysons Corner
MCNGAGI	Hilton Garden Inn Macon/Mercer University, GA
MCNHWHW	Homewood Suites by Hilton Macon-North, GA
MCNMLHX	Hampton Inn Milledgeville, GA
MCNNOHX	Hampton Inn and Suites Macon I-75 North, GA
MCNWRGI	Hilton Garden Inn Warner Robins, GA
MCOAFHW	Homewood Suites by Hilton Orlando-UCF Area
MCOAKHX	Hampton Inn and Suites Orlando/Apopka, FL
MCOALHX	Hampton Inn and Suites Orlando-North/Altamonte Springs, FL
MCOAPHX	Hampton Inn Orlando Airport
MCOATES	Embassy Suites by Hilton Orlando Airport
MCOBVGI	Hilton Garden Inn Lake Buena Vista/Orlando, FL
MCOCCHX	Hampton Inn Orlando Convention Center
MCOCMHX	Hampton Inn and Suites Clermont, FL
MCOCVHW	Homewood Suites by Hilton Orlando-Intl Drive/Convention Ctr
MCODTES	Embassy Suites by Hilton Orlando-Downtown
MCOFHDT	DoubleTree Suites by Hilton Walt Disney World
MCOFMHX	Hampton Inn Orlando Florida Mall
MCOGTHW	Homewood Suites by Hilton Orlando Airport, FL
MCOGWHX	Hampton Inn and Suites Orlando Airport @ Gateway Village, FL
MCOHNDT	DoubleTree by Hilton Orlando Airport
MCOHWHW	Homewood Suites by Hilton Orlando-Nearest to Univ Studios
MCOIDHX	Hampton Inn and Suites Orlando International Drive North
MCOITES	Embassy Suites by Hilton Orlando-Intl Dr-Jamaican Court
MCOJYHX	Hampton Inn and Suites Orlando-John Young Parkway/South Park
MCOKKHX	Hampton Inn Orlando South of Universal Studios
MCOLAGI	Hilton Garden Inn Lakeland, FL
MCOLKES	Embassy Suites by Hilton Orlando-Lake Buena Vista South
MCOLLHX	Hampton Inn Lakeland
MCOLVHX	Hampton Inn Orlando/Lake Buena Vista
MCOMDGV	Parc Soleil by Hilton Grand Vacations Club
MCOMLHW	Homewood Suites by Hilton Orlando/Maitland
MCOODDT	DoubleTree by Hilton Orlando Downtown
MCOORES	Embassy Suites by Hilton Orlando/Intl Drive South-Convention
MCOOSHX	Hampton Inn and Suites Orlando/South Lake Buena Vista, FL
MCOSPES	Embassy Suites by Hilton Orlando-North
MCOSRDT	DoubleTree by Hilton Resort Orlando - International Drive
MCOSWHX	Hampton Inn Orlando South of Walt Disney
MCOUBGV	Las Palmeras, a Hilton Grand Vacations Club
MCOUCHX	Hampton Inn and Suites Orlando UCF
MCOUNDT	DoubleTree by Hilton Orlando Universal-At The Entrance
MCOVSHW	Homewood Suites by Hilton Lake Buena Vista - Orlando
MCOWDES	Embassy Suites by Hilton Orlando - Lake Buena Vista Resort
MCOWHHX	Hampton Inn Orlando @ Universal Studios
MDORAHX	Hampton Inn Mount Dora
MDTGHGI	Hilton Garden Inn Gettysburg
MDTHAGI	Hilton Garden Inn Harrisburg East
MDTHEGI	Hilton Garden Inn Hershey
MDTHHHF	Hilton Harrisburg
MDTHRHX	Hampton Inn & Suites Hershey Near the Park, PA
MDTYSHX	Hampton Inn and Suites York/South, PA
MDWAHGI	Hilton Garden Inn Chicago/Midway Airport
MDWINGI	Hilton Garden Inn Merrillville, IN
MDWKAGI	Hilton Garden Inn Kankakee, IL
MDWTPGI	Hilton Garden Inn Chicago/Tinley Park
MEAHWHW	Homewood Suites by Hilton East Rutherford/Meadowlands, NJ
MEANJES	Embassy Suites by Hilton Secaucus-Meadowland, NJ
MEBNCHX	Hampton Inn Mebane
MEDHIHI	Madinah Hilton Hotel
MEIMEGI	Hilton Garden Inn Meridian, MS
MEIMSHX	Hampton Inn Meridian
MEJPAHX	Hampton Inn Meadville, PA
MELFSDI	DoubleTree by Hilton Melbourne - Flinders Street
MELSWHI	Hilton Melbourne South Wharf
MEMCVHX	Hampton Inn Memphis/Collierville
MEMDNDT	DoubleTree by Hilton Memphis Downtown
MEMEHDT	DoubleTree by Hilton Memphis
MEMGTHW	Homewood Suites by Hilton Memphis/Germantown
MEMHSHX	Hampton Inn and Suites Memphis Galleria
MEMHWHW	Homewood Suites by Hilton Southwind - Hacks Cross
MEMMAHX	Hampton Inn Marion, AR
MEMMLHX	Hampton Inn and Suites Millington, TN
MEMMRHX	Hampton Inn Hernando, MS
MEMMSHT	Home2 Suites by Hilton Memphis-Southaven, MS
MEMPBHX	Hampton Inn and Suites Memphis Peabody Place
MEMPEES	Embassy Suites by Hilton Memphis
MEMPHHF	Hilton Memphis
MEMPOHW	Homewood Suites by Hilton Memphis-East
MEMPRHX	Hampton Inn Memphis Poplar
MEMSGHX	Hampton Inn and Suites Memphis Shady Grove
MEMSHGI	Hilton Garden Inn Memphis/Southhaven
MEMSOHX	Hampton Inn Memphis/Southaven
MEMSWHX	Hampton Inn Memphis Southwind
MEMWGHX	Hampton Inn Memphis Walnut Grove
MERCTHX	Hampton Inn Meriden
MERHITW	Mersin HiltonSA Hotel
MESHPHF	Hilton Phoenix East-Mesa
METOHHX	Hampton Inn Marietta
MEXAHHF	Hilton Mexico City Airport
MEXCHHX	Hampton Inn and Suites Mexico City Centro Historico
MEXRFHH	Hilton Mexico City Reforma
MEXSAHH	Hilton Santa Fe Mexico City
MFDHSHX	Hampton Inn & Suites Mansfield-South @ I-71
MFDONHX	Hampton Inn Mansfield/Ontario
MFEDTDT	DoubleTree by Hilton McAllen
MFEMHGI	Hilton Garden Inn McAllen Airport
MFEMSHX	Hampton Inn Mission
MFEPRHX	Hampton Inn Pharr
MFESPHX	Hampton Inn and Suites McAllen, TX
MFEWRHW	Homewood Suites by Hilton McAllen, TX
MFRHWHW	Homewood Suites by Hilton Medford, OR
MFRORHX	Hampton inn Medford
MGAHFHF	Hilton Princess Managua
MGMACHX	Hampton Inn Alexander City, AL
MGMCFHX	Hampton Inn and Suites Prattville, AL
MGMDNHX	Hampton Inn and Suites Montgomery-Downtown, AL
MGMESES	Embassy Suites by Hilton Montgomery - Conference Center
MGMGIGI	Hilton Garden Inn Montgomery East
MGMHHHX	Hampton Inn Montgomery I-65 South/Hope Hull, AL
MGMHSHX	Hampton Inn and Suites Montgomery Eastchase
MGMHWHW	Homewood Suites by Hilton Montgomery
MGMMADT	DoubleTree by Hilton Montgomery Downtown
MGWGIGI	Hilton Garden Inn Morgantown
MGWVVHX	Hampton Inn Morgantown
MHKJCHX	Hampton Inn Junction City
MHMPAHX	Hampton Inn Manheim
MHOIDHX	Hampton Inn and Suites Mountian Home, ID
MHTBFHX	Hampton Inn and Suites Manchester/Bedford
MHTDTGI	Hilton Garden Inn Manchester Downtown
MHTEXHX	Hampton Inn and Suites Exeter, NH
MHTHWHW	Homewood Suites Manchester
MHTPDGI	Hilton Garden Inn Portsmouth
MIAAHHH	Hilton Miami Airport
MIAAIGI	Hilton Garden Inn Miami Airport West
MIABLHW	Homewood Suites Miami-Airport/Blue Lagoon
MIABMHF	Hilton Bentley Miami/South Beach
MIABSDT	DoubleTree by Hilton Grand Hotel Biscayne Bay
MIABVHX	Hampton Inn and Suites Miami/Brickell-Downtown, FL
MIACGHX	Hampton Inn Miami Coconut Grove/Coral Gables
MIACICI	Conrad Miami
MIADLHX	Hampton Inn Miami/Dadeland
MIADTHF	Hilton Miami Downtown
MIAFAHT	Home2 Suites by Hilton Florida City, FL
MIAFLHX	Hampton Inn & Suites Miami  Doral/Dolphin Mall
MIAHSHX	Hampton Inn and Suites Miami Airport South
MIAMADT	DoubleTree by Hilton Miami Airport Convention Center, FL
MIAMBHF	Hilton Cabana Miami Beach
MIAOPDT	DoubleTree by Hilton Ocean Point Resort & Spa - Miami Beach
MIASBGI	Hilton Garden Inn Miami South Beach-Royal Polo
MIASPES	Embassy Suites by Hilton Miami - International Airport
MIASTHX	Hampton Inn Miami/South Beach-17th Street, FL
MIAVHQQ	Vintro Hotel Miami Beach, Curio Collection by Hilton
MIAWEHX	Hampton Inn Miami Airport West
MIAWTHW	Homewood Suites by Hilton Miami - Airport West
MIEINHX	Hampton Inn and Suites Muncie, IN
MIFGIGI	Hilton Garden Inn Milford
MIFPLHX	Hampton Inn Milford
MIKHNHN	Hilton Milton Keynes
MILCAES	Embassy Suites by Hilton Milpitas-Silicon Valley
MILGIGI	Hilton Garden Inn Milan North
MILHITW	Hilton Milan
MITSDHX	Hampton Inn Mitchell
MIWIAHX	Hampton Inn and Suites Marshalltown, IA
MKCAPHW	Homewood Suites by Hilton Kansas City Airport
MKCATHX	Hampton Inn Kansas City Airport
MKCBEHX	Hampton Inn Belton/Kansas City Area, MO
MKCBSHX	Hampton Inn Kansas City/Blue Springs
MKCFDHX	Hampton Inn Kansas City Downtown Financial District, MO
MKCHSHX	Hampton Inn and Suites Kansas City County Club Plaza
MKCHWHW	Homewood Suites by Hilton Kansas City/Overland Park
MKCLBHX	Hampton Inn Kansas City/Liberty
MKCLSHX	Hampton Inn Kansas City Lees Summit
MKCMCES	Embassy Suites by Hilton Kansas City-Overland Park
MKCMRHX	Hampton Inn and Suites Mansas City/Merriam
MKCOLHX	Hampton Inn Olathe
MKCPDES	Embassy Suites by Hilton Kansas City-International Airport
MKCSMHX	Hampton Inn Kansas City/Shawnee Mission
MKCSWHX	Hampton Inn Kansas City Village West
MKCWEES	Embassy Suites by Hilton Kansas City- Plaza
MKCWOHX	Hampton Inn Kansas City/Near Worlds of Fun, MO
MKEAPHX	Hampton Inn Milwaukee Airport
MKEBFHX	Hampton Inn Milwaukee/Brookfield
MKEBKDT	DoubleTree by Hilton Milwaukee/Brookfield
MKEBLHX	Hampton Inn Burlington, WI
MKECCDT	DoubleTree by Hilton Milwaukee City Center
MKEDWHX	Hampton Inn and Suites Milwaukee Downtown, WI
MKEGFHX	Hampton Inn and Suites Grafton, WI
MKEGIGI	Hilton Garden Inn Milwaukee Airport, WI
MKELLHX	Hampton Inn Milwaukee Northwest
MKEMDGI	Hilton Garden Inn Milwaukee Downtown, WI
MKEMHHF	Hilton Milwaukee-City Center
MKEOCGI	Hilton Garden Inn Oconomowoc, WI
MKEPPGI	Hilton Garden Inn Milwaukee Park Place
MKGMIHX	Hampton Inn Muskegon
MKLDTDT	DoubleTree by Hilton Jackson
MKLHSHX	Hampton Inn and Suites Jackson, TN
MKLMIHX	Hampton Inn Milan, TN
MKTMDGI	Hilton Garden Inn Mankato Downtown, MN
MLAHITW	Hilton Malta
MLBASDT	DoubleTree by Hilton Cocoa Beach-Oceanfront
MLBBODT	DoubleTree Suites by Hilton Melbourne Beach Oceanfront
MLBDKHX	Hampton Inn Melbourne
MLBHIHF	Hilton Melbourne Oceanfront
MLBMHHF	Hilton Melbourne Rialto Place
MLBSLGI	Hilton Garden Inn at PGA Village/Port St. Lucie
MLBVIHX	Hampton Inn Melbourne/Viera, FL
MLDMIHX	Hampton Inn Midland, MI
MLEHICI	Conrad Maldives Resort & Spa Rangali Island
MLETNHX	Hampton Inn Middletown, DE
MLHHSHX	Hampton Inn and Suites Mill Hall/Lamar I-80, PA
MLIATHX	Hampton Inn and Suites Moline/Quad City International Arprt
MLIBQGI	Hilton Garden Inn Bettendorf/Quad Cities, IA
MLTNYHX	Hampton Inn Middletown
MLUWEHX	Hampton Inn West Monroe, LA
MLUWMGI	Hilton Garden Inn West Monroe, LA
MLVNYHW	Homewood Suites by Hilton Long Island-Melville
MLXMADI	DoubleTree by Hilton Malatya
MMIOKHX	Hampton Inn Miami, OK
MNLMBCI	Conrad Manila, Philippines
MNONCHX	Hampton Inn Charlotte/Monroe
MNZHAHX	Hampton Mannassas
MNZWBHW	Homewood Suites by Hilton Woodbridge, VA
MNZWSHX	Hampton Inn and Suites Woodstock, VA
MOBAPHX	Hampton Inn and Suites Mobile Airport Blvd.
MOBATHX	Hampton Inn Atmore, AL
MOBCUQQ	The Admiral Hotel Mobile-Curio Collection by Hilton
MOBDTHX	Hampton Inn and Suites Mobile-Downtown, AL
MOBEBHX	Hampton Inn Mobile East Bay/Daphne
MOBEHGI	Hilton Garden Inn Mobile East Bay/Daphne
MOBFHHX	Hampton Inn Fairhope-Mobile Bay, AL
MOBHMHW	Homewood Suites by Hilton Mobile-East Bay-Daphne, AL
MOBHWHW	Homewood Suites by Hilton Mobile I-65/Airport Boulevard, AL
MOBJCHX	Hampton Inn Jackson, AL
MOBMCHX	Hampton Inn and Suites Mobile-Medical Center/Airport, AL
MOBMKHX	Hampton Inn Foley, AL
MOBOBHX	Hampton Inn Orange Beach/Gulf Front
MOBPPHW	Homewood Suites Mobile Airport-University Area
MOBTCHX	Hampton Inn Mobile/Bellingrath Gardens
MOBWSGI	Hilton Garden Inn Mobile West I-65/Airport Blvd.
MODHSHX	Hampton Inn and Suites Modesto Salida
MORNCHX	Hampton Inn Morehead City,NC
MOTNDHX	Hampton Inn and Suites Minot/Airport, ND
MOWMLDI	DoubleTree by Hilton Moscow-Marina, Russia
MOWMSHX	Hampton Inn Moscow Strogino
MOWNRGI	Hilton Garden Inn Moscow New Riga, Russia
MPECUQQ	Madison Beach Hotel-Curio Collection By Hilton
MPTMIHX	Hampton Inn Mount Pleasant
MQBILHX	Hampton Inn Macomb, IL
MQMGIGI	Hilton Garden Inn Mardin
MQTWFHX	Hampton Inn Marquette/Waterfront, MI
MQYSMGI	Hilton Garden Inn Nashville/Smyrna, TN
MQYTNHX	Hampton Inn and Suites Nashville/Smyrna, TN
MRKMHHF	Hilton Marco Island
MRLMIHX	Hampton Inn Marshall, MI
MRNINHX	Hampton Inn Marion, IN
MRTTNHX	Hampton Inn Martin, TN
MRUHIHI	Hilton Mauritius Resort & Spa
MRVNCHX	Hampton Inn Mooresville/Lake Norman, NC
MRYESES	Embassy Suites by Hilton Monterey Bay-Seaside
MRYMHGI	Hilton Garden Inn Monterey
MSGOKHX	Hampton Inn Muskogee
MSHTXHX	Hampton Inn Marshall, TX
MSLOHHX	Hampton Inn Massillon
MSNBJHX	Hampton Inn and Suites Madison/Downtown, WI
MSNDTDT	DoubleTree by Hilton Madison
MSNEAHX	Hampton Inn Madison East Towne Mall
MSNHWHW	Homewood Suites by Hilton Madison West, WI
MSNMHHF	Hilton Madison Monona Terrace
MSNWDGI	Hilton Garden Inn Wisconsin Dells
MSNWHGI	Hilton Garden Inn Madison West/Middleton
MSNWTHX	Hampton Inn and Suites Madison West, WI
MSOGIGI	Hilton Garden Inn Missoula, MT
MSOMTHX	Hampton Inn Missoula
MSPAHHF	Hilton Minneapolis-Airport
MSPAMHX	Hampton Inn and Suites Minneapolis-St. Paul Airport, MN
MSPAPES	Embassy Suites by Hilton Minneapolis-Airport
MSPBLGI	Hilton Garden Inn Bloomington
MSPBRES	Embassy Suites by Hilton Minneapolis-North, MN
MSPBSDT	DoubleTree by Hilton Bloomington-Minneapolis South
MSPBVHX	Hampton Inn Minneapolis/Burnsville
MSPBWHF	Hilton Minneapolis South Bloomington Hotel
MSPCNGI	Hilton Garden Inn Minneapolis Downtown, MN
MSPEGHX	Hampton Inn Minneapolis/Eagan
MSPEHGI	Hilton Garden Inn Minneapolis/Eagan
MSPEPGI	Hilton Garden Inn Minneapolis/Eden Prairie
MSPHWHW	Homewood Suites by Hilton Minneapolis - Mall of America
MSPLLHX	Hampton Inn and Suites Lino Lakes, MN
MSPLPHW	Homewood Suites by Hilton Minneapolis/St. Louis Park
MSPLSDT	DoubleTree Suites by Hilton Minneapolis
MSPMAGI	Hilton Garden Inn Minneapolis/Maple Grove
MSPMGHX	Hampton Inn Minneapolis/Maple Grove
MSPMHHH	Hilton Minneapolis
MSPMSDT	DoubleTree by Hilton St Paul Downtown
MSPNBHW	Homewood Suites by Hilton Minneapolis/New Brighton, MN
MSPNODT	DoubleTree by Hilton Minneapolis North
MSPOHGI	Hilton Garden Inn St. Paul/Oakdale
MSPPHDT	DoubleTree by Hilton Minneapolis-Park Place
MSPSHGI	Hilton Garden Inn St. Paul-Shoreview
MSPSKHX	Hampton Inn Minneapolis/Shakopee, MN
MSPSPES	Embassy Suites by Hilton St Paul-Downtown
MSPSVHX	Hampton Inn Minneapolis/St. Paul North
MSPVIHH	The Marquette Hotel
MSPWBHX	Hampton Inn and Suites Minneapolis/West-Minnetonka, MN
MSPWDHX	Hampton Inn Minneapolis/St. Paul/Woodbury
MSPWEES	Embassy Suites by Hilton Bloomington
MSQHXHX	Hampton By Hilton Minsk
MSYAHHH	Hilton New Orleans Airport
MSYCCES	Embassy Suites by Hilton New Orleans
MSYDTHX	Hampton Inn New Orleans Downtown
MSYELHX	Hampton Inn and Suites New Orleans/Elmwood
MSYFQHF	Hilton New Orleans St. Charles Ave.
MSYGDHX	Hampton Inn New Orleans St. Charles Ave.
MSYGIGI	Hilton Garden Inn New Orleans Convention Center
MSYHAHX	Hampton Inn and Suites Harvey, LA
MSYHWHW	Homewood Suites New Orleans Downtown
MSYKNDT	DoubleTree by Hilton New Orleans Airport
MSYKPGI	Hilton Garden Inn New Orleans Airport
MSYLAHX	Hampton Inn and Suites New Orleans Convention Center
MSYMTHX	Hampton Inn New Orleans/Metairie
MSYNHHH	Hilton New Orleans Riverside
MSYNSHW	Homewood Suites by Hilton Slidell, LA
MSYORGI	Hilton Garden Inn New Orleans French Quarter/CBD
MSYRHWA	The Roosevelt New Orleans Waldorf Astoria
MSYSDHX	Hampton Inn Slidell
MSYTCDT	DoubleTree by Hilton New Orleans
MTANCHX	Hampton Inn Mount Airy
MTHNJHX	Hampton Inn Burlington/Mount Holly
MTJCOHX	Hampton Inn Montrose, CO
MTNRIHX	Hampton Inn and Suites Newport Middletown
MTOILHX	Hampton Inn Mattoon
MTPTXHX	Hampton Inn and Suites Mt. Pleasant, TX
MTVVAHX	Hampton Inn Martinsville
MTWTNHX	Hampton Inn Morristown
MTYAPHX	Hampton Inn Monterrey Airport
MTYGAHX	Hampton Inn Monterrey Gallerias
MTYMHGI	Hilton Garden Inn Monterrey
MUCCHTW	Hilton Munich City
MUCHITW	Hilton Munich Park
MUCTMHI	Hilton Munich Airport
MURNCHX	Hampton Inn Murphy, NC
MUTIAHX	Hampton Inn Muscatine, IA
MVDMVGI	Hilton Garden Inn Montevideo, Uruguay
MVLKYHX	Hampton Inn and Suites Madisonville, KY
MVNHHHX	Hampton Inn Mount Vernon
MVWBLHX	Hampton Inn and Suites Burlington, WA
MWHNJDT	DoubleTree by Hilton Mahwah
MWOMDHX	Hampton Inn Middletown, OH
MXPSLGI	Hilton Garden Inn Milan Malpensa,Italy
